Kode,Sektor,Nama Perusahaan,Papan Pencatatan
BANK,Financials,Bank Aladin Syariah Tbk.,Pengembangan
BAPA,Properties & Real Estate,Bekasi Asri Pemula Tbk.,Pengembangan
BAPI,Properties & Real Estate,Bhakti Agung Propertindo Tbk.,Pemantauan Khusus
BATA,Consumer Cyclicals,Sepatu Bata Tbk.,Pemantauan Khusus
BATR,Basic Materials,Benteng Api Technic Tbk.,Pengembangan
BAUT,Consumer Cyclicals,Mitra Angkasa Sejahtera Tbk.,Pemantauan Khusus
BAYU,Consumer Cyclicals,Bayu Buana Tbk,Utama
BBCA,Financials,Bank Central Asia Tbk.,Utama
BBHI,Financials,Allo Bank Indonesia Tbk.,Utama
BBKP,Financials,Bank KB Indonesia Tbk.,Pengembangan
BBLD,Financials,Buana Finance Tbk.,Pengembangan
BBMD,Financials,Bank Mestika Dharma Tbk.,Utama
BBNI,Financials,Bank Negara Indonesia (Persero,Utama
BBRI,Financials,Bank Rakyat Indonesia (Persero,Utama
BBRM,Energy,Pelayaran Nasional Bina Buana,Pengembangan
BBSI,Financials,Krom Bank Indonesia Tbk.,Utama
BBSS,Properties & Real Estate,Bumi Benowo Sukses Sejahtera T,Pengembangan
BBTN,Financials,Bank Tabungan Negara (Persero),Utama
BBYB,Financials,Bank Neo Commerce Tbk.,Utama
BCAP,Financials,MNC Kapital Indonesia Tbk.,Utama
BCIC,Financials,Bank JTrust Indonesia Tbk.,Pengembangan
BCIP,Properties & Real Estate,Bumi Citra Permai Tbk.,Pengembangan
BDKR,Infrastructures,Berdikari Pondasi Perkasa Tbk.,Utama
BDMN,Financials,Bank Danamon Indonesia Tbk.,Utama
BEBS,Basic Materials,Berkah Beton Sadaya Tbk.,Pemantauan Khusus
BEEF,Consumer Non-Cyclicals,Estika Tata Tiara Tbk.,Pengembangan
BEER,Consumer Non-Cyclicals,Jobubu Jarum Minahasa Tbk.,Pengembangan
BEKS,Financials,Bank Pembangunan Daerah Banten,Pemantauan Khusus
BELI,Technology,Global Digital Niaga Tbk.,Pengembangan
BELL,Consumer Cyclicals,Trisula Textile Industries Tbk,Pengembangan
BESS,Energy,Batulicin Nusantara Maritim Tb,Pengembangan
BEST,Properties & Real Estate,Bekasi Fajar Industrial Estate,Utama
BFIN,Financials,BFI Finance  Indonesia Tbk.,Utama
BGTG,Financials,Bank Ganesha Tbk.,Utama
BHAT,Financials,Bhakti Multi Artha Tbk.,Pengembangan
BHIT,Industrials,MNC Asia Holding Tbk.,Pemantauan Khusus
BIKA,Properties & Real Estate,Binakarya Jaya Abadi Tbk.,Pemantauan Khusus
BIKE,Consumer Cyclicals,Bhineka Inovasi Ketahanan Ener,Pemantauan Khusus
BIMA,Consumer Cyclicals,Primarindo Asia Infrastructure,Pemantauan Khusus
BINA,Financials,Bank Ina Perdana Tbk.,Utama
BINO,Industrials,Perma Plasindo Tbk.,Pengembangan
BIPI,Energy,Astrindo Nusantara Infrastrukt,Pengembangan
BIPP,Properties & Real Estate,Bhuwanatala Indah Permai Tbk.,Pengembangan
BIRD,Transportation & Logistic,Blue Bird Tbk.,Utama
BISI,Consumer Non-Cyclicals,BISI International Tbk.,Utama
BJBR,Financials,Bank Pembangunan Daerah Jawa B,Utama
BJTM,Financials,Bank Pembangunan Daerah Jawa T,Utama
BKDP,Properties & Real Estate,Bukit Darmo Property Tbk,Pengembangan
BKSL,Properties & Real Estate,Sentul City Tbk.,Utama
BKSW,Financials,Bank QNB Indonesia Tbk.,Pengembangan
BLES,Basic Materials,Superior Prima Sukses Tbk.,Pengembangan
BLOG,Transportation & Logistic,Trimitra Trans Persada Tbk.,Utama
BLTA,Transportation & Logistic,Berlian Laju Tanker Tbk,Pemantauan Khusus
BLTZ,Consumer Cyclicals,Graha Layar Prima Tbk.,Pemantauan Khusus
BLUE,Industrials,Berkah Prima Perkasa Tbk.,Pengembangan
BMAS,Financials,Bank Kasikorn Indonesia Tbk.,Pengembangan
BMBL,Consumer Cyclicals,Lavender Bina Cendikia Tbk.,Akselerasi
BMHS,Healthcare,Bundamedik Tbk.,Utama
BMRI,Financials,Bank Mandiri (Persero) Tbk.,Utama
BMSR,Basic Materials,Bintang Mitra Semestaraya Tbk,Pengembangan
BMTR,Consumer Cyclicals,Global Mediacom Tbk.,Utama
BNBA,Financials,Bank Bumi Arta Tbk.,Pengembangan
BNBR,Industrials,Bakrie & Brothers Tbk,Pengembangan
BNGA,Financials,Bank CIMB Niaga Tbk.,Utama
BNII,Financials,Bank Maybank Indonesia Tbk.,Utama
BNLI,Financials,Bank Permata Tbk.,Utama
BOAT,Energy,Newport Marine Services Tbk.,Pengembangan
BOBA,Consumer Non-Cyclicals,Formosa Ingredient Factory Tbk,Pengembangan
BOGA,Consumer Cyclicals,Apollo Global Interactive Tbk.,Pengembangan
BOLA,Consumer Cyclicals,Bali Bintang Sejahtera Tbk.,Utama
BOLT,Consumer Cyclicals,Garuda Metalindo Tbk.,Pengembangan
BOSS,Energy,Borneo Olah Sarana Sukses Tbk.,Pemantauan Khusus
BPFI,Financials,Woori Finance Indonesia Tbk.,Pengembangan
BPII,Financials,Batavia Prosperindo Internasio,Pengembangan
BPTR,Transportation & Logistic,Batavia Prosperindo Trans Tbk.,Pengembangan
BRAM,Consumer Cyclicals,Indo Kordsa Tbk.,Pengembangan
BREN,Infrastructures,Barito Renewables Energy Tbk.,Utama
BRIS,Financials,Bank Syariah Indonesia (Perser,Utama
BRMS,Basic Materials,Bumi Resources Minerals Tbk.,Utama
BRNA,Basic Materials,Berlina Tbk.,Pengembangan
BRPT,Basic Materials,Barito Pacific Tbk.,Utama
BRRC,Consumer Non-Cyclicals,Raja Roti Cemerlang Tbk.,Pemantauan Khusus
BSBK,Properties & Real Estate,Wulandari Bangun Laksana Tbk.,Pengembangan
BSDE,Properties & Real Estate,Bumi Serpong Damai Tbk.,Utama
BSIM,Financials,Bank Sinarmas Tbk.,Utama
BSML,Energy,Bintang Samudera Mandiri Lines,Pengembangan
BSSR,Energy,Baramulti Suksessarana Tbk.,Utama
BSWD,Financials,Bank Of India Indonesia Tbk.,Pemantauan Khusus
BTEK,Consumer Non-Cyclicals,Bumi Teknokultura Unggul Tbk,Pemantauan Khusus
BTEL,Infrastructures,Bakrie Telecom Tbk.,Pemantauan Khusus
BTON,Basic Materials,Betonjaya Manunggal Tbk.,Pengembangan
BTPN,Financials,Bank SMBC Indonesia Tbk.,Utama
BTPS,Financials,Bank BTPN Syariah Tbk.,Utama
BUAH,Consumer Non-Cyclicals,Segar Kumala Indonesia Tbk.,Pengembangan
BUDI,Consumer Non-Cyclicals,Budi Starch & Sweetener Tbk.,Utama
BUKA,Technology,Bukalapak.com Tbk.,Ekonomi Baru
BUKK,Infrastructures,Bukaka Teknik Utama Tbk.,Pengembangan
BULL,Energy,Buana Lintas Lautan Tbk.,Pengembangan
BUMI,Energy,Bumi Resources Tbk.,Utama
BUVA,Consumer Cyclicals,Bukit Uluwatu Villa Tbk.,Pengembangan
BVIC,Financials,Bank Victoria International Tb,Utama
