Kode,Sektor,Nama Perusahaan,Papan Pencatatan
HRUM,Basic Materials,Harum Energy Tbk.,Utama
HUMI,Energy,Humpuss Maritim Internasional,Pengembangan
HYGN,Industrials,Ecocare Indo Pasifik Tbk.,Pengembangan
IATA,Energy,Karya Pacific Energy Tbk.,Pengembangan
IBFN,Industrials,Intan Baru Prana Tbk.,Pemantauan Khusus
IBOS,Consumer Non-Cyclicals,Indo Boga Sukses Tbk.,Akselerasi
IBST,Infrastructures,Inti Bangun Sejahtera Tbk.,Pemantauan Khusus
ICBP,Consumer Non-Cyclicals,Indofood CBP Sukses Makmur Tbk,Utama
ICON,Industrials,Island Concepts Indonesia Tbk.,Pengembangan
IDEA,Consumer Cyclicals,Idea Indonesia Akademi Tbk.,Akselerasi
IDPR,Infrastructures,Indonesia Pondasi Raya Tbk.,Pengembangan
IFII,Basic Materials,Indonesia Fibreboard Industry,Pengembangan
IFSH,Basic Materials,Ifishdeco Tbk.,Pemantauan Khusus
IGAR,Basic Materials,Champion Pacific Indonesia Tbk,Pengembangan
IIKP,Consumer Cyclicals,Inti Agri Resources Tbk,Pemantauan Khusus
IKAI,Industrials,Intikeramik Alamasri Industri,Pemantauan Khusus
IKAN,Consumer Non-Cyclicals,Era Mandiri Cemerlang Tbk.,Pengembangan
IKBI,Industrials,Sumi Indo Kabel Tbk.,Pengembangan
IKPM,Healthcare,Ikapharmindo Putramas Tbk.,Pengembangan
IMAS,Consumer Cyclicals,Indomobil Sukses Internasional,Utama
IMJS,Transportation & Logistic,Indomobil Multi Jasa Tbk.,Pengembangan
IMPC,Industrials,Impack Pratama Industri Tbk.,Utama
INAF,Healthcare,Indofarma Tbk.,Pemantauan Khusus
INAI,Basic Materials,Indal Aluminium Industry Tbk.,Pengembangan
INCF,Basic Materials,Indo Komoditi Korpora Tbk.,Pemantauan Khusus
INCI,Basic Materials,Intanwijaya Internasional Tbk,Pengembangan
INCO,Basic Materials,Vale Indonesia Tbk.,Utama
INDF,Consumer Non-Cyclicals,Indofood Sukses Makmur Tbk.,Utama
INDO,Properties & Real Estate,Royalindo Investa Wijaya Tbk.,Pengembangan
INDR,Consumer Cyclicals,Indo-Rama Synthetics Tbk.,Pengembangan
INDS,Consumer Cyclicals,Indospring Tbk.,Pengembangan
INDX,Industrials,Tanah Laut Tbk,Pengembangan
INDY,Energy,Indika Energy Tbk.,Utama
INET,Infrastructures,Sinergi Inti Andalan Prima Tbk,Pengembangan
INKP,Basic Materials,Indah Kiat Pulp & Paper Tbk.,Utama
INOV,Consumer Cyclicals,Inocycle Technology Group Tbk.,Pengembangan
INPC,Financials,Bank Artha Graha Internasional,Utama
INPP,Properties & Real Estate,Indonesian Paradise Property T,Pengembangan
INPS,Energy,Indah Prakasa Sentosa Tbk.,Pemantauan Khusus
INRU,Basic Materials,Toba Pulp Lestari Tbk.,Pemantauan Khusus
INTA,Industrials,Intraco Penta Tbk.,Pemantauan Khusus
INTD,Basic Materials,Inter Delta Tbk,Pengembangan
INTP,Basic Materials,Indocement Tunggal Prakarsa Tb,Utama
IOTF,Technology,Sumber Sinergi Makmur Tbk.,Pengembangan
IPAC,Properties & Real Estate,Era Graharealty Tbk.,Akselerasi
IPCC,Infrastructures,Indonesia Kendaraan Terminal T,Utama
IPCM,Infrastructures,Jasa Armada Indonesia Tbk.,Utama
IPOL,Basic Materials,Indopoly Swakarsa Industry Tbk,Pengembangan
IPPE,Consumer Non-Cyclicals,Indo Pureco Pratama Tbk.,Pemantauan Khusus
IPTV,Consumer Cyclicals,MNC Vision Networks Tbk.,Pemantauan Khusus
IRRA,Healthcare,Itama Ranoraya Tbk.,Pengembangan
IRSX,Technology,Folago Global Nusantara Tbk.,Pengembangan
ISAP,Consumer Cyclicals,Isra Presisi Indonesia Tbk.,Akselerasi
ISAT,Infrastructures,Indosat Tbk.,Utama
ISEA,Consumer Non-Cyclicals,Indo American Seafoods Tbk.,Pengembangan
ISSP,Basic Materials,Steel Pipe Industry of Indones,Utama
ITIC,Consumer Non-Cyclicals,Indonesian Tobacco Tbk.,Pengembangan
ITMA,Energy,Sumber Energi Andalan Tbk.,Pengembangan
ITMG,Energy,Indo Tambangraya Megah Tbk.,Utama
JARR,Consumer Non-Cyclicals,Jhonlin Agro Raya Tbk.,Utama
JAST,Infrastructures,Jasnita Telekomindo Tbk.,Pengembangan
JATI,Technology,Informasi Teknologi Indonesia,Pengembangan
JAWA,Consumer Non-Cyclicals,Jaya Agra Wattie Tbk.,Pengembangan
JAYA,Transportation & Logistic,Armada Berjaya Trans Tbk.,Pengembangan
JECC,Industrials,Jembo Cable Company Tbk.,Pengembangan
JECX,Healthcare,Nitrasanata Dharma Tbk.,Utama
JELI,Consumer Non-Cyclicals,Niramas Utama Tbk.,Pengembangan
JGLE,Consumer Cyclicals,Graha Andrasentra Propertindo,Pengembangan
JIHD,Consumer Cyclicals,Jakarta International Hotels &,Utama
JKON,Infrastructures,Jaya Konstruksi Manggala Prata,Utama
JMAS,Financials,Asuransi Jiwa Syariah Jasa Mit,Pengembangan
JPFA,Consumer Non-Cyclicals,Japfa Comfeed Indonesia Tbk.,Utama
JRPT,Properties & Real Estate,Jaya Real Property Tbk.,Utama
JSKY,Energy,Sky Energy Indonesia Tbk.,Pemantauan Khusus
JSMR,Infrastructures,Jasa Marga (Persero) Tbk.,Utama
JSPT,Consumer Cyclicals,Jakarta Setiabudi Internasiona,Utama
JTPE,Industrials,Jasuindo Tiga Perkasa Tbk.,Utama
KAEF,Healthcare,Kimia Farma (Persero) Tbk.,Pengembangan
KAQI,Consumer Cyclicals,Jantra Grupo Indonesia Tbk.,Pengembangan
KARW,Infrastructures,Meratus Jasa Prima Tbk.,Pemantauan Khusus
KAYU,Basic Materials,Darmi Bersaudara Tbk.,Pemantauan Khusus
KBAG,Properties & Real Estate,Karya Bersama Anugerah Tbk.,Pemantauan Khusus
KBLI,Industrials,KMI Wire & Cable Tbk.,Utama
KBLM,Industrials,Kabelindo Murni Tbk.,Pengembangan
KBLV,Infrastructures,First Media Tbk.,Pengembangan
KBRI,Basic Materials,Kertas Basuki Rachmat Indonesi,Pemantauan Khusus
KDSI,Basic Materials,Kedawung Setia Industrial Tbk.,Pengembangan
KDTN,Consumer Cyclicals,Puri Sentul Permai Tbk.,Pengembangan
KEEN,Infrastructures,Kencana Energi Lestari Tbk.,Utama
KEJU,Consumer Non-Cyclicals,Mulia Boga Raya Tbk.,Utama
KETR,Infrastructures,Ketrosden Triasmitra Tbk.,Pengembangan
KIAS,Industrials,Keramika Indonesia Assosiasi T,Pemantauan Khusus
KICI,Consumer Cyclicals,Kedaung Indah Can Tbk,Pengembangan
KIJA,Properties & Real Estate,Kawasan Industri Jababeka Tbk.,Utama
KING,Industrials,Hoffmen Cleanindo Tbk.,Akselerasi
KINO,Consumer Non-Cyclicals,Kino Indonesia Tbk.,Pengembangan
KIOS,Technology,Kioson Komersial Indonesia Tbk,Pengembangan
KJEN,Transportation & Logistic,Krida Jaringan Nusantara Tbk.,Pengembangan
KKES,Basic Materials,Kusuma Kemindo Sentosa Tbk.,Pengembangan
KKGI,Energy,Resource Alam Indonesia Tbk.,Utama
KLAS,Transportation & Logistic,Pelayaran Kurnia Lautan Semest,Pengembangan
KLBF,Healthcare,Kalbe Farma Tbk.,Utama
KLIN,Consumer Cyclicals,Klinko Karya Imaji Tbk.,Akselerasi
KMDS,Consumer Non-Cyclicals,Kurniamitra Duta Sentosa Tbk.,Pengembangan
KMTR,Basic Materials,Kirana Megatara Tbk.,Pengembangan
KOBX,Industrials,Kobexindo Tractors Tbk.,Pengembangan
KOCI,Properties & Real Estate,Kokoh Exa Nusantara Tbk.,Pengembangan
KOIN,Industrials,Kokoh Inti Arebama Tbk,Pemantauan Khusus
KOKA,Infrastructures,Koka Indonesia Tbk.,Pengembangan
KONI,Industrials,Perdana Bangun Pusaka Tbk,Pengembangan
KOPI,Energy,Mitra Energi Persada Tbk.,Pengembangan
KOTA,Consumer Cyclicals,DMS Propertindo Tbk.,Utama
KPIG,Consumer Cyclicals,MNC Tourism Indonesia Tbk.,Utama
KRAS,Basic Materials,Krakatau Steel (Persero) Tbk.,Pengembangan
KREN,Technology,Quantum Clovera Investama Tbk.,Pemantauan Khusus
KRYA,Infrastructures,Bangun Karya Perkasa Jaya Tbk.,Pengembangan
KSIX,Properties & Real Estate,Kentanix Supra International T,Pengembangan
KUAS,Industrials,Ace Oldfields Tbk.,Pengembangan
LABA,Industrials,Green Power Group Tbk.,Pengembangan
LABS,Healthcare,UBC Medical Indonesia Tbk.,Pengembangan
LAJU,Transportation & Logistic,Jasa Berdikari Logistics Tbk.,Pengembangan
LAND,Properties & Real Estate,Trimitra Propertindo Tbk.,Pengembangan
LAPD,Consumer Non-Cyclicals,Leyand International Tbk.,Pengembangan
LCGP,Properties & Real Estate,Eureka Prima Jakarta Tbk.,Pemantauan Khusus
LCKM,Infrastructures,LCK Global Kedaton Tbk.,Pengembangan
LEAD,Energy,Logindo Samudramakmur Tbk.,Pengembangan
LFLO,Consumer Cyclicals,Imago Mulia Persada Tbk.,Akselerasi
LIFE,Financials,MSIG Life Insurance Indonesia,Pemantauan Khusus
LINK,Infrastructures,Link Net Tbk.,Pengembangan
LION,Industrials,Lion Metal Works Tbk.,Pengembangan
LIVE,Consumer Cyclicals,Homeco Victoria Makmur Tbk.,Pengembangan
LMAS,Technology,Limas Indonesia Makmur Tbk,Pemantauan Khusus
LMAX,Consumer Cyclicals,Lupromax Pelumas Indonesia Tbk,Akselerasi
LMPI,Consumer Cyclicals,Langgeng Makmur Industri Tbk.,Pengembangan
LMSH,Basic Materials,Lionmesh Prima Tbk.,Pemantauan Khusus
LOPI,Transportation & Logistic,Logisticsplus International Tb,Akselerasi
LPCK,Properties & Real Estate,Lippo Cikarang Tbk,Utama
LPGI,Financials,Lippo General Insurance Tbk.,Pengembangan
LPIN,Consumer Cyclicals,Multi Prima Sejahtera Tbk,Pengembangan
LPKR,Properties & Real Estate,Lippo Karawaci Tbk.,Utama
LPLI,Properties & Real Estate,Star Pacific Tbk,Pengembangan
LPPF,Consumer Cyclicals,MDS Retailing Tbk.,Utama
LPPS,Financials,Lenox Pasifik Investama Tbk.,Pengembangan
LRNA,Transportation & Logistic,Eka Sari Lorena Transport Tbk.,Pengembangan
LSIP,Consumer Non-Cyclicals,PP London Sumatra Indonesia Tb,Utama
LTLS,Basic Materials,Lautan Luas Tbk.,Utama
LUCK,Technology,Sentral Mitra Informatika Tbk.,Pengembangan
LUCY,Consumer Cyclicals,Lima Dua Lima Tiga Tbk.,Akselerasi
MABA,Consumer Cyclicals,Marga Abhinaya Abadi Tbk.,Pemantauan Khusus
MAGP,Consumer Non-Cyclicals,Multi Agro Gemilang Plantation,Pemantauan Khusus
MAHA,Energy,Mandiri Herindo Adiperkasa Tbk,Utama
MAIN,Consumer Non-Cyclicals,Malindo Feedmill Tbk.,Utama
MANG,Infrastructures,Manggung Polahraya Tbk.,Akselerasi
MAPA,Consumer Cyclicals,Map Aktif Adiperkasa Tbk.,Utama
MAPB,Consumer Cyclicals,MAP Boga Adiperkasa Tbk.,Pemantauan Khusus
MAPI,Consumer Cyclicals,Mitra Adiperkasa Tbk.,Utama
MARI,Consumer Cyclicals,Mahaka Radio Integra Tbk.,Pemantauan Khusus
MARK,Industrials,Mark Dynamics Indonesia Tbk.,Utama
MASB,Financials,Bank Multiarta Sentosa Tbk.,Utama
MAXI,Consumer Non-Cyclicals,Maxindo Karya Anugerah Tbk.,Pengembangan
MAYA,Financials,Bank Mayapada Internasional Tb,Utama
MBAP,Energy,Mitrabara Adiperdana Tbk.,Pengembangan
MBMA,Basic Materials,Merdeka Battery Materials Tbk.,Utama
MBSS,Energy,Mitrabahtera Segara Sejati Tbk,Utama
MBTO,Consumer Non-Cyclicals,Martina Berto Tbk.,Pengembangan
MCAS,Technology,M Cash Integrasi Tbk.,Pengembangan
MCOL,Energy,Prima Andalan Mandiri Tbk.,Utama
MCOR,Financials,Bank China Construction Bank I,Utama
MDIA,Consumer Cyclicals,Intermedia Capital Tbk.,Pengembangan
MDIY,Consumer Cyclicals,Daya Intiguna Yasa Tbk.,Utama
MDKA,Basic Materials,Merdeka Copper Gold Tbk.,Utama
MDKI,Basic Materials,Emdeki Utama Tbk.,Pengembangan
MDLA,Healthcare,Medela Potentia Tbk.,Utama
MDLN,Properties & Real Estate,Modernland Realty Tbk.,Pengembangan
MDRN,Industrials,Modern Internasional Tbk.,Pemantauan Khusus
MEDC,Energy,Medco Energi Internasional Tbk,Utama
MEDS,Healthcare,Hetzer Medical Indonesia Tbk.,Pengembangan
MEGA,Financials,Bank Mega Tbk.,Utama
MEJA,Consumer Cyclicals,Harta Djaya Karya Tbk.,Akselerasi
MENN,Technology,Menn Teknologi Indonesia Tbk.,Pemantauan Khusus
MERI,Consumer Cyclicals,Merry Riana Edukasi Tbk.,Pengembangan
MERK,Healthcare,Merck Tbk.,Utama
META,Infrastructures,Nusantara Infrastructure Tbk.,Pengembangan
MFMI,Industrials,Multifiling Mitra Indonesia Tb,Pemantauan Khusus
MGLV,Consumer Cyclicals,NexAI Digital Infrastruktur Tb,Akselerasi
MGNA,Consumer Cyclicals,Magna Investama Mandiri Tbk.,Pengembangan
MGRO,Consumer Non-Cyclicals,Mahkota Group Tbk.,Pengembangan
MHKI,Industrials,Multi Hanna Kreasindo Tbk.,Pengembangan
MICE,Consumer Cyclicals,Multi Indocitra Tbk.,Pengembangan
MIDI,Consumer Non-Cyclicals,Midi Utama Indonesia Tbk.,Utama
MIKA,Healthcare,Mitra Keluarga Karyasehat Tbk.,Utama
MINA,Consumer Cyclicals,Sanurhasta Mitra Tbk.,Pengembangan
MINE,Basic Materials,Sinar Terang Mandiri Tbk.,Pengembangan
MIRA,Transportation & Logistic,Mitra International Resources,Pemantauan Khusus
MITI,Transportation & Logistic,Mitra Investindo Tbk.,Pengembangan
MKAP,Energy,Multikarya Asia Pasifik Raya T,Pengembangan
MKNT,Consumer Cyclicals,Mitra Komunikasi Nusantara Tbk,Pemantauan Khusus
MKPI,Properties & Real Estate,Metropolitan Kentjana Tbk.,Pengembangan
MKTR,Consumer Non-Cyclicals,Menthobi Karyatama Raya Tbk.,Utama
MLBI,Consumer Non-Cyclicals,Multi Bintang Indonesia Tbk.,Utama
MLIA,Industrials,Mulia Industrindo Tbk,Pemantauan Khusus
MLPL,Consumer Non-Cyclicals,Multipolar Tbk.,Utama
MLPT,Technology,Multipolar Technology Tbk.,Pengembangan
MMIX,Healthcare,Multi Medika Internasional Tbk,Pengembangan
MMLP,Properties & Real Estate,Mega Manunggal Property Tbk.,Pengembangan
MNCN,Consumer Cyclicals,Media Nusantara Citra Tbk.,Utama
MOLI,Basic Materials,Madusari Murni Indah Tbk.,Pengembangan
MORA,Infrastructures,Ekamas Mora Republik Tbk.,Utama
MPIX,Technology,Mitra Pedagang Indonesia Tbk.,Pengembangan
MPMX,Consumer Cyclicals,Mitra Pinasthika Mustika Tbk.,Utama
MPOW,Infrastructures,Megapower Makmur Tbk.,Pengembangan
MPPA,Consumer Non-Cyclicals,Matahari Putra Prima Tbk.,Pemantauan Khusus
MPRO,Properties & Real Estate,Maha Properti Indonesia Tbk.,Pengembangan
MPXL,Transportation & Logistic,MPX Logistics International Tb,Pengembangan
MRAT,Consumer Non-Cyclicals,Mustika Ratu Tbk.,Pengembangan
MREI,Financials,Maskapai Reasuransi Indonesia,Pengembangan
MSIE,Properties & Real Estate,Multisarana Intan Eduka Tbk.,Akselerasi
MSIN,Consumer Cyclicals,MNC Digital Entertainment Tbk.,Utama
MSJA,Consumer Non-Cyclicals,Multi Spunindo Jaya Tbk.,Pengembangan
MSKY,Consumer Cyclicals,MNC Sky Vision Tbk.,Pengembangan
MSTI,Technology,Mastersystem Infotama Tbk.,Utama
MTDL,Technology,Metrodata Electronics Tbk.,Utama
MTEL,Infrastructures,Dayamitra Telekomunikasi Tbk.,Utama
MTFN,Energy,Capitalinc Investment Tbk.,Pemantauan Khusus
MTLA,Properties & Real Estate,Metropolitan Land Tbk.,Utama
MTMH,Healthcare,Murni Sadar Tbk.,Utama
MTPS,Infrastructures,Meta Epsi Tbk.,Pemantauan Khusus
MTRA,Infrastructures,Mitra Pemuda Tbk.,Pemantauan Khusus
MTSM,Properties & Real Estate,Metro Realty Tbk.,Pemantauan Khusus
MTWI,Financials,Malacca Trust Wuwungan Insuran,Pengembangan
MUTU,Industrials,Mutuagung Lestari Tbk.,Pengembangan
MYOH,Energy,Samindo Resources Tbk.,Pengembangan
MYOR,Consumer Non-Cyclicals,Mayora Indah Tbk.,Utama
MYTX,Consumer Cyclicals,Asia Pacific Investama Tbk.,Pemantauan Khusus
NAIK,Industrials,Adiwarna Anugerah Abadi Tbk.,Pengembangan
NANO,Consumer Non-Cyclicals,Nanotech Indonesia Global Tbk.,Akselerasi
NASA,Properties & Real Estate,Andalan Perkasa Abadi Tbk.,Pemantauan Khusus
NASI,Consumer Non-Cyclicals,Wahana Inti Makmur Tbk.,Pengembangan
NATO,Consumer Cyclicals,Olympus Strategic Indonesia Tb,Pengembangan
NAYZ,Consumer Non-Cyclicals,Hassana Boga Sejahtera Tbk.,Akselerasi
NCKL,Basic Materials,Trimegah Bangun Persada Tbk.,Pengembangan
NELY,Transportation & Logistic,Pelayaran Nelly Dwi Putri Tbk.,Pengembangan
NEST,Consumer Non-Cyclicals,Esta Indonesia Tbk.,Pengembangan
NETV,Consumer Cyclicals,MDTV Media Technologies Tbk.,Pengembangan
NFCX,Technology,NFC Indonesia Tbk.,Pengembangan
NICE,Basic Materials,Adhi Kartiko Pratama Tbk.,Pengembangan
NICK,Financials,Charnic Capital Tbk.,Pengembangan
NICL,Basic Materials,PAM Mineral Tbk.,Pengembangan
NIKL,Basic Materials,Pelat Timah Nusantara Tbk.,Pengembangan
NINE,Technology,Techno9 Indonesia Tbk.,Akselerasi
NIRO,Properties & Real Estate,City Retail Developments Tbk.,Pengembangan
NISP,Financials,Bank OCBC NISP Tbk.,Utama
NOBU,Financials,Bank Nationalnobu Tbk.,Utama
NPGF,Basic Materials,Nusa Palapa Gemilang Tbk.,Pengembangan
NRCA,Infrastructures,Nusa Raya Cipta Tbk.,Pengembangan
NSSS,Consumer Non-Cyclicals,Nusantara Sawit Sejahtera Tbk.,Pengembangan
NTBK,Industrials,Nusatama Berkah Tbk.,Pengembangan
NUSA,Consumer Cyclicals,Sinergi Megah Internusa Tbk.,Pemantauan Khusus
NZIA,Properties & Real Estate,Nusantara Almazia Tbk.,Pengembangan
OASA,Infrastructures,Maharaksa Biru Energi Tbk.,Pengembangan
OBAT,Healthcare,Brigit Biofarmaka Teknologi Tb,Pengembangan
OBMD,Basic Materials,OBM Drilchem Tbk.,Pengembangan
OCAP,Financials,Onix Capital Tbk.,Pemantauan Khusus
OILS,Consumer Non-Cyclicals,Indo Oil Perkasa Tbk.,Pengembangan
OKAS,Basic Materials,Ancora Indonesia Resources Tbk,Pengembangan
OLIV,Consumer Cyclicals,Atlas Nexus Group Tbk.,Akselerasi
OMED,Healthcare,Jayamas Medica Industri Tbk.,Utama
OMRE,Properties & Real Estate,Indonesia Prima Property Tbk,Pengembangan
OPMS,Basic Materials,Optima Prima Metal Sinergi Tbk,Pengembangan
PACK,Basic Materials,Abadi Nusantara Hijau Investam,Pemantauan Khusus
PADA,Industrials,Personel Alih Daya Tbk.,Pengembangan
PADI,Financials,Minna Padi Investama Sekuritas,Utama
PALM,Financials,Provident Investasi Bersama Tb,Utama
PAMG,Properties & Real Estate,Bima Sakti Pertiwi Tbk.,Pengembangan
PANI,Properties & Real Estate,Pantai Indah Kapuk Dua Tbk.,Utama
PANR,Consumer Cyclicals,Panorama Sentrawisata Tbk.,Pengembangan
PANS,Financials,Panin Sekuritas Tbk.,Utama
PART,Consumer Cyclicals,Cipta Perdana Lancar Tbk.,Pengembangan
PBID,Basic Materials,Panca Budi Idaman Tbk.,Utama
PBRX,Consumer Cyclicals,Pan Brothers Tbk.,Pemantauan Khusus
PBSA,Infrastructures,Paramita Bangun Sarana Tbk.,Pengembangan
PCAR,Consumer Non-Cyclicals,Prima Cakrawala Abadi Tbk.,Pemantauan Khusus
PDES,Consumer Cyclicals,Destinasi Tirta Nusantara Tbk,Pengembangan
PDPP,Basic Materials,Primadaya Plastisindo Tbk.,Pengembangan
PEGE,Financials,Panca Global Kapital Tbk.,Pengembangan
PEHA,Healthcare,Phapros Tbk.,Pengembangan
PEVE,Healthcare,Penta Valent Tbk.,Pengembangan
PGAS,Energy,Perusahaan Gas Negara (Persero,Utama
PGEO,Infrastructures,Pertamina Geothermal Energy Tb,Utama
PGJO,Technology,Bahtera Bumi Raya Tbk.,Akselerasi
PGLI,Consumer Cyclicals,Pembangunan Graha Lestari Inda,Pengembangan
PGUN,Consumer Non-Cyclicals,Pradiksi Gunatama Tbk.,Pengembangan
PICO,Basic Materials,Pelangi Indah Canindo Tbk,Pengembangan
PIPA,Industrials,Oxala Energy International Tbk,Pengembangan
PJAA,Consumer Cyclicals,Pembangunan Jaya Ancol Tbk.,Pengembangan
PJHB,Transportation & Logistic,Pelayaran Jaya Hidup Baru Tbk.,Pengembangan
PKPK,Energy,Paragon Karya Perkasa Tbk.,Pengembangan
PLAN,Consumer Cyclicals,Planet Properindo Jaya Tbk.,Akselerasi
PLAS,Financials,Polaris Investama Tbk,Pemantauan Khusus
PLIN,Properties & Real Estate,Plaza Indonesia Realty Tbk.,Pemantauan Khusus
PMJS,Consumer Cyclicals,Putra Mandiri Jembar Tbk.,Pengembangan
PMMP,Consumer Non-Cyclicals,Panca Mitra Multiperdana Tbk.,Pemantauan Khusus
PMUI,Consumer Cyclicals,Prima Multi Usaha Indonesia Tb,Pengembangan
PNBN,Financials,Bank Pan Indonesia Tbk,Utama
PNBS,Financials,Bank Panin Dubai Syariah Tbk.,Pengembangan
PNGO,Consumer Non-Cyclicals,AEP Pinago Plantations Tbk.,Pemantauan Khusus
PNIN,Financials,Paninvest Tbk.,Utama
PNLF,Financials,Panin Financial Tbk.,Utama
PNSE,Consumer Cyclicals,Pudjiadi & Sons Tbk.,Pengembangan
POLA,Financials,Pool Advista Finance Tbk.,Pengembangan
POLI,Properties & Real Estate,Pollux Hotels Group Tbk.,Pengembangan
POLL,Properties & Real Estate,Pollux Properties Indonesia Tb,Pemantauan Khusus
POLU,Consumer Cyclicals,Golden Flower Tbk.,Pengembangan
POLY,Consumer Cyclicals,Asia Pacific Fibers Tbk,Pemantauan Khusus
POOL,Financials,Pool Advista Indonesia Tbk.,Pemantauan Khusus
PORT,Infrastructures,Nusantara Pelabuhan Handal Tbk,Utama
POSA,Properties & Real Estate,Bliss Properti Indonesia Tbk.,Pemantauan Khusus
POWR,Infrastructures,Cikarang Listrindo Tbk.,Utama
PPGL,Transportation & Logistic,Prima Globalindo Logistik Tbk.,Akselerasi
PPRE,Infrastructures,PP Presisi Tbk.,Pengembangan
PPRI,Basic Materials,Paperocks Indonesia Tbk.,Pengembangan
PPRO,Properties & Real Estate,PP Properti Tbk.,Pemantauan Khusus
PRAY,Healthcare,Famon Awal Bros Sedaya Tbk.,Utama
PRDA,Healthcare,Prodia Widyahusada Tbk.,Utama
PRDL,Healthcare,Prodia Diagnostic Line Tbk.,Pengembangan
PRIM,Healthcare,Royal Prima Tbk.,Pengembangan
PSAB,Basic Materials,J Resources Asia Pasifik Tbk.,Pengembangan
PSAT,Energy,Pancaran Samudera Transport Tb,Pengembangan
PSDN,Consumer Non-Cyclicals,Prasidha Aneka Niaga Tbk,Pengembangan
PSGO,Consumer Non-Cyclicals,Palma Serasih Tbk.,Utama
PSKT,Consumer Cyclicals,Red Planet Indonesia Tbk.,Pengembangan
PSSI,Energy,IMC Pelita Logistik Tbk.,Utama
PTBA,Energy,Bukit Asam (Persero) Tbk.,Utama
PTDU,Infrastructures,Djasa Ubersakti Tbk.,Pemantauan Khusus
PTIS,Energy,Indo Straits Tbk.,Pengembangan
PTMP,Industrials,Mitra Pack Tbk.,Pengembangan
PTMR,Basic Materials,Master Print Tbk.,Pemantauan Khusus
PTPP,Infrastructures,PP (Persero) Tbk.,Utama
PTPS,Consumer Non-Cyclicals,Pulau Subur Tbk.,Pengembangan
PTPW,Infrastructures,Pratama Widya Tbk.,Pengembangan
PTRO,Energy,Petrosea Tbk.,Utama
PTSN,Technology,Sat Nusapersada Tbk,Pengembangan
PTSP,Consumer Cyclicals,Pioneerindo Gourmet Internatio,Pengembangan
PUDP,Properties & Real Estate,Pudjiadi Prestige Tbk.,Pengembangan
PURA,Transportation & Logistic,Putra Rajawali Kencana Tbk.,Pemantauan Khusus
PURE,Basic Materials,Trinitan Metals and Minerals T,Pemantauan Khusus
PURI,Properties & Real Estate,Puri Global Sukses Tbk.,Pengembangan
PWON,Properties & Real Estate,Pakuwon Jati Tbk.,Utama
PYFA,Healthcare,Pyridam Farma Tbk,Pengembangan
PZZA,Consumer Cyclicals,Sarimelati Kencana Tbk.,Pengembangan
RAAM,Consumer Cyclicals,Tripar Multivision Plus Tbk.,Utama
RAFI,Consumer Cyclicals,Sari Kreasi Boga Tbk.,Pemantauan Khusus
RAJA,Energy,Rukun Raharja Tbk.,Utama
RALS,Consumer Cyclicals,Ramayana Lestari Sentosa Tbk.,Utama
RANC,Consumer Non-Cyclicals,Supra Boga Lestari Tbk.,Pengembangan
RANS,Consumer Cyclicals,Rans Entertainmen Indonesia Tb,Pengembangan
RATU,Energy,Raharja Energi Cepu Tbk.,Pengembangan
RBMS,Properties & Real Estate,Ristia Bintang Mahkotasejati T,Pengembangan
RCCC,Transportation & Logistic,Utama Radar Cahaya Tbk.,Akselerasi
RDTX,Properties & Real Estate,Roda Vivatex Tbk,Pengembangan
REAL,Properties & Real Estate,Repower Asia Indonesia Tbk.,Pengembangan
RELF,Properties & Real Estate,Graha Mitra Asia Tbk.,Akselerasi
RELI,Financials,Reliance Sekuritas Indonesia T,Pengembangan
RGAS,Energy,Kian Santang Muliatama Tbk.,Pengembangan
RICY,Consumer Cyclicals,Ricky Putra Globalindo Tbk,Pengembangan
RIGS,Energy,Rig Tenders Indonesia Tbk.,Pengembangan
RIMO,Properties & Real Estate,Rimo International Lestari Tbk,Pemantauan Khusus
RISE,Properties & Real Estate,Jaya Sukses Makmur Sentosa Tbk,Pengembangan
RLCO,Consumer Non-Cyclicals,Abadi Lestari Indonesia Tbk.,Pengembangan
RMKE,Energy,RMK Energy Tbk.,Utama
RMKO,Energy,Royaltama Mulia Kontraktorindo,Pengembangan
ROCK,Properties & Real Estate,Rockfields Properti Indonesia,Pengembangan
RODA,Properties & Real Estate,Pikko Land Development Tbk.,Pengembangan
RONY,Infrastructures,Aracord Nusantara Group Tbk.,Pengembangan
ROTI,Consumer Non-Cyclicals,Nippon Indosari Corpindo Tbk.,Pengembangan
RSCH,Healthcare,Charlie Hospital Semarang Tbk.,Pengembangan
RSGK,Healthcare,Kedoya Adyaraya Tbk.,Pengembangan
RUIS,Energy,Radiant Utama Interinsco Tbk.,Pengembangan
RUNS,Technology,Global Sukses Solusi Tbk.,Akselerasi
SAFE,Transportation & Logistic,Steady Safe Tbk,Pemantauan Khusus
SAGE,Properties & Real Estate,Saptausaha Gemilangindah Tbk.,Pemantauan Khusus
SAME,Healthcare,Sarana Meditama Metropolitan T,Utama
SAMF,Basic Materials,Saraswanti Anugerah Makmur Tbk,Utama
SAPX,Transportation & Logistic,Satria Antaran Prima Tbk.,Pengembangan
SATU,Properties & Real Estate,Kota Satu Properti Tbk.,Pengembangan
SBAT,Consumer Cyclicals,Sejahtera Bintang Abadi Textil,Pemantauan Khusus
SBMA,Basic Materials,Surya Biru Murni Acetylene Tbk,Pengembangan
